source_file,row_idx,dt_time,target_id,anomaly_family,anomaly_type,change_summary
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2494,204700Z,DAL524,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1440,120000Z,JBU151,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1798,145900Z,SWA4319,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2547,211330Z,CAP3227,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_11-01-2025.csv,416,032800Z,WUP906,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2141,175030Z,N813HD,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2866,235300Z,PDT5846,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1946,161300Z,None,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2061,171030Z,N310WJ,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2000,164000Z,UAL1992,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2386,195300Z,EJA472,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,634,051700Z,AVA205,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,203,014130Z,N724LU,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,88,004400Z,DAL9970,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,1775,144730Z,N19KB,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,284,022200Z,DAL1011,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1345,111230Z,N909DC,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,2827,233330Z,EDV5004,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2031,165530Z,N2872Q,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,2721,224030Z,RPA4506,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,551,043530Z,KLM248,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,248,020400Z,ABD7267,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1675,135730Z,CXK255,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_09-01-2025.xlsx,1441,120030Z,N65614,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_01-01-2026.csv,322,024100Z,FDX1248,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,2010,164500Z,N8949C,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2226,183300Z,N123KC,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,2231,183530Z,DAL3060,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1643,134130Z,JBU1229,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,75,003730Z,N41858,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_03-01-2026.xlsx,1740,143000Z,PDT6107,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,2727,224330Z,N200NS,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_02-01-2026.xlsx,766,062300Z,AVA205,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_10-01-2025.csv,1446,120300Z,VTE3101,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
DT snapshot_24hr_withOUT Trascription_with_Operation_08-01-2025.xlsx,1471,121530Z,UPS9796,ADS-B Integrity / Spoofing,Position jump anomaly,Position jump anomaly
